ano,modelo,sensibilidade,especificidade,vpp,vpn,acuracia,n,prevalencia,auc,auprc,brier
2019,referencia,0.7816455696202531,0.6652452025586354,0.7588325652841782,0.6933333333333334,0.7320617620345141,1101,0.5740236148955495,0.7234453860894443,0.7184787121929903,0.26793823796548594
2019,interpretavel,0.6693037974683544,0.7356076759061834,0.773308957952468,0.6227436823104693,0.6975476839237057,1101,0.5740236148955495,0.7626143693827427,0.8329321648231947,0.19970601130231522
2019,aprendizado,0.6424050632911392,0.8422174840085288,0.8458333333333333,0.6360708534621579,0.7275204359673024,1101,0.5740236148955495,0.7964191249898789,0.8534727305764125,0.216012116166724
2020,referencia,0.8009188361408882,0.6651884700665188,0.7759643916913946,0.6976744186046512,0.7454710144927537,1104,0.5914855072463768,0.7330536531037036,0.7392381206686499,0.2545289855072464
2020,interpretavel,0.6309341500765697,0.7272727272727273,0.7700934579439253,0.5764499121265377,0.6702898550724637,1104,0.5914855072463768,0.7366478439947979,0.8181408539502,0.2203620757463498
2020,aprendizado,0.6324655436447167,0.7694013303769401,0.7988394584139265,0.5911413969335605,0.6884057971014492,1104,0.5914855072463768,0.7849189991273433,0.8465591270241238,0.23716979529836596
2021,referencia,0.7467411545623837,0.7386363636363636,0.7439703153988868,0.7414448669201521,0.7427230046948357,1065,0.504225352112676,0.7426887590993736,0.6832527827975373,0.25727699530516435
2021,interpretavel,0.5810055865921788,0.7196969696969697,0.6782608695652174,0.628099173553719,0.6497652582159624,1065,0.504225352112676,0.715217820664748,0.7504349911551846,0.21474985366862104
2021,aprendizado,0.6424581005586593,0.7840909090909091,0.7516339869281046,0.6831683168316832,0.7126760563380282,1065,0.504225352112676,0.7875684216466339,0.7908073991246868,0.20338484973285173
2022,referencia,0.8287937743190662,0.5862831858407079,0.7736077481840193,0.6675062972292192,0.7391659852820932,1223,0.6304170073589533,0.7075384800798872,0.749092601894903,0.2608340147179068
2022,interpretavel,0.7431906614785992,0.6946902654867256,0.8059071729957806,0.61328125,0.7252657399836467,1223,0.6304170073589533,0.7759719017940153,0.8621871414303295,0.1852583448303433
2022,aprendizado,0.8041504539559015,0.6393805309734514,0.7918263090676884,0.6568181818181819,0.7432542927228127,1223,0.6304170073589533,0.8115652583129598,0.8839214293267225,0.17871012875362718
2023,referencia,0.7789165446559297,0.6911764705882353,0.8085106382978723,0.651270207852194,0.7461044912923923,1091,0.6260311640696609,0.7350465076220826,0.7681674456061302,0.2538955087076077
2023,interpretavel,0.7964860907759883,0.6593137254901961,0.7964860907759883,0.6593137254901961,0.7451879010082493,1091,0.6260311640696609,0.8035950104785692,0.870925598794886,0.1754808520743716
2023,aprendizado,0.7745241581259151,0.7328431372549019,0.829153605015674,0.6600441501103753,0.7589367552703942,1091,0.6260311640696609,0.8281837625240434,0.886970030454385,0.1704660836469095
2024,referencia,0.9073446327683616,0.5306666666666666,0.8202247191011236,0.708185053380783,0.7952380952380952,1260,0.7023809523809523,0.7190056497175141,0.8093058616197066,0.20476190476190476
2024,interpretavel,0.9355932203389831,0.3973333333333333,0.7855787476280834,0.7233009708737864,0.7753968253968254,1260,0.7023809523809523,0.8436911487758945,0.9303587060438816,0.15476588066958266
2024,aprendizado,0.9016949152542373,0.5306666666666666,0.8193018480492813,0.6958041958041958,0.7912698412698412,1260,0.7023809523809523,0.8423623352165726,0.9287284351936248,0.15774484915953527
2025,referencia,0.7064579256360078,0.6979166666666666,0.6400709219858156,0.7576736672051696,0.7016060862214708,1183,0.4319526627218935,0.7021872961513372,0.5789794564484607,0.29839391377852914
2025,interpretavel,0.6927592954990215,0.6101190476190477,0.5746753246753247,0.7231040564373897,0.6458157227387996,1183,0.4319526627218935,0.7136188379461373,0.6686587343411733,0.2221534531872909
2025,aprendizado,0.7553816046966731,0.6041666666666666,0.5920245398773006,0.7645951035781544,0.6694843617920541,1183,0.4319526627218935,0.7561707902339018,0.7181210319731337,0.22131039440974914
