ano,n_treino,n_teste,auc,auprc,brier
2020,113216,24592,0.7573719658259658,0.624242831404312,0.19568659365177155
2021,137808,24128,0.7505202201996723,0.5714186602336003,0.18280957639217377
2022,161936,24128,0.7834651148448887,0.754445978145465,0.20628635585308075
2023,186064,24128,0.7812304276178024,0.7256014294616671,0.19966189563274384
2024,210192,24128,0.8088808131746643,0.8299008835751136,0.18737053871154785
2025,234320,24662,0.7833715954668135,0.7591745665833911,0.19942675530910492
