variavel,ganho,coef,peso
incidencia_100k,58882.5146984458,2.997803016887392,33.68997493447409
incidencia_lag1,15306.90946495533,0.7257845348517559,8.757937714440393
log_pop,8510.905097305775,0.40831694185765366,4.869564094984001
semana,8335.42991912365,-0.07258051309717278,4.769164946189932
canal_q3,7863.178316831589,-0.07250929664935178,4.49896343177661
incidencia_mm3,7228.08313703537,0.24942929350421325,4.135590012724847
canal_mediana,6408.495754301548,-0.1632415478308376,3.666658301463499
incidencia_mm8,5154.526295304298,-0.12636533591260565,2.9491923464415666
casos_est_mm3,4469.903986632824,-0.06809488234274684,2.5574816911333524
umidmed_lag2,4226.81821167469,0.03892733076970084,2.418398744231241
umidmed_lag4,4102.2931815981865,-0.17147050609140532,2.3471510204633774
tempmed,3878.789850592613,0.34598358023573594,2.219272283321942
tempmin_lag4,3684.0593264102936,0.411723242098352,2.1078560757724283
tempmed_anomalia,3631.8182793855667,0.07742786270944674,2.07796605538476
umidmed,3617.070450246334,0.028966683476530513,2.0695279987463304
tempmed_lag8,3608.401012837887,0.061656006939288084,2.064567729462955
umidmed_anomalia,3160.9943289756775,0.2130423869959376,1.8085813803399977
razao_mm3_mm8,2992.6639600992203,0.027919775490597362,1.7122701759493284
casos_est_mm8,2936.8841046094894,-0.029314045912241002,1.6803554056151866
tempmed_lag4,2931.6876366734505,-0.7196614398973524,1.6773822161138632
tempmax_lag4,2664.0187168717384,0.42430687597982236,1.524233879208757
incidencia_lag4,2509.9825073480606,0.0629885167214104,1.4361011616366408
tempmed_lag2,2500.345695078373,0.024453022347450983,1.4305874031724057
incidencia_lag2,2380.0115497112274,0.3839981560395859,1.3617375185854028
variacao_semanal,2257.54229837656,-0.023384016171501563,1.29166602064006
semanas_favoraveis_8,1534.2278959155083,-0.002390924490224964,0.8778174577270339
