data_iniSE,se_codigo,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,data_ini_se,cod_ibge,municipio,uf,ano,semana
1786233600000,202632,0.0,0,0,0,0.0,0.0,0,1,521730220263220683,2026-08-18,Pirenópolis,,0.0,26598,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,,,,,7784,2026-08-09,5217302,Pirenopolis,GO,2026,32
1785628800000,202631,0.0,0,0,0,0.0,0.0,0,1,521730220263120683,2026-08-18,Pirenópolis,,0.0,26598,18.5396833333333,35.16595,0,0,0,32.5470333333333,29.9401,19.45265,20.45845,0,,,,,7784,2026-08-02,5217302,Pirenopolis,GO,2026,31
1785024000000,202630,2.0,2,2,2,0.29684275,7.5193624,0,1,521730220263020683,2026-08-18,Pirenópolis,,0.6443711,26598,23.9249428571429,39.0847714285714,0,0,0,39.0847714285714,39.0847714285714,23.9249428571429,23.9249428571429,2,,,,,7784,2026-07-26,5217302,Pirenopolis,GO,2026,30
1784419200000,202629,3.0,3,3,3,0.4942179,11.279043,0,1,521730220262920683,2026-08-18,Pirenópolis,,0.98905355,26598,22.1768714285714,45.1705142857143,0,0,0,45.1705142857143,45.1705142857143,22.1768714285714,22.1768714285714,3,,,,,7784,2026-07-19,5217302,Pirenopolis,GO,2026,29
1783814400000,202628,4.0,4,4,4,0.48855045,15.038725,0,1,521730220262820683,2026-08-18,Pirenópolis,,0.9810075,26598,22.4131142857143,49.8174428571429,0,0,0,49.8174428571429,49.8174428571429,22.4131142857143,22.4131142857143,4,,,,,7784,2026-07-12,5217302,Pirenopolis,GO,2026,28
1783209600000,202627,2.0,2,2,2,0.032320503,7.5193624,0,1,521730220262720683,2026-08-18,Pirenópolis,,0.27994442,26598,22.3185142857143,47.1283571428571,0,0,0,47.1283571428571,47.1283571428571,22.3185142857143,22.3185142857143,1,,,,,7784,2026-07-05,5217302,Pirenopolis,GO,2026,27
1782604800000,202626,3.0,3,3,3,0.009589342,11.279043,0,1,521730220262620683,2026-08-18,Pirenópolis,,0.2657614,26598,21.1788857142857,53.1974571428571,0,0,0,53.1974571428571,53.1974571428571,21.1788857142857,21.1788857142857,3,,,,,7784,2026-06-28,5217302,Pirenopolis,GO,2026,26
1782000000000,202625,6.0,6,6,6,0.044748697,22.558086,0,1,521730220262520683,2026-08-18,Pirenópolis,,0.45530218,26598,22.2114714285714,62.6387571428571,0,0,1,62.6387571428571,62.6387571428571,22.2114714285714,22.2114714285714,6,,,,,7784,2026-06-21,5217302,Pirenopolis,GO,2026,25
1781395200000,202624,12.0,12,12,12,0.5239833,45.116173,0,1,521730220262420683,2026-08-18,Pirenópolis,,1.024572,26598,21.9489285714286,65.8986714285714,0,0,1,65.8986714285714,65.8986714285714,21.9489285714286,21.9489285714286,12,,,,,7784,2026-06-14,5217302,Pirenopolis,GO,2026,24
1780790400000,202623,18.0,18,18,18,0.90257543,67.67426,0,1,521730220262320683,2026-08-18,Pirenópolis,,1.6162872,26598,18.6380857142857,71.5932857142857,0,0,1,65.6015428571429,58.4417857142857,20.3188285714286,22.4075285714286,18,,,,,7784,2026-06-07,5217302,Pirenopolis,GO,2026,23
1780185600000,202622,9.0,9,9,9,0.14180198,33.83713,0,1,521730220262220683,2026-08-18,Pirenópolis,,0.64142966,26598,16.8822142857143,73.7371285714286,0,0,1,55.7067714285714,36.5764142857143,21.6006428571429,26.8030142857143,9,,,,,7784,2026-05-31,5217302,Pirenopolis,GO,2026,22
1779580800000,202621,10.0,10,10,10,0.06149179,37.596813,0,1,521730220262120683,2026-08-18,Pirenópolis,,0.55624753,26598,19.0346285714286,79.5188857142857,0,0,1,60.9063714285714,40.9859571428571,23.1236571428571,27.6309857142857,9,,,,,7784,2026-05-24,5217302,Pirenopolis,GO,2026,21
1778976000000,202620,11.0,11,11,11,0.104333654,41.35649,0,1,521730220262020683,2026-08-18,Pirenópolis,,0.62523323,26598,20.0392571428571,80.6630428571429,0,0,1,62.7026142857143,41.6488571428571,23.9934142857143,28.6003428571429,10,,,,,7784,2026-05-17,5217302,Pirenopolis,GO,2026,20
1778371200000,202619,23.0,23,23,23,0.8964243,86.472664,0,4,521730220261920683,2026-08-18,Pirenópolis,,1.5027696,26598,18.0703,82.8821571428571,0,0,2,63.7614,40.5094714285714,23.1910714285714,28.5746428571429,14,,,,,7784,2026-05-10,5217302,Pirenopolis,GO,2026,19
1777766400000,202618,21.0,21,21,21,0.77246535,78.95331,0,1,521730220261820683,2026-08-18,Pirenópolis,,1.2740302,26598,22.8607,60.2710428571429,0,0,2,60.2710428571429,60.2710428571429,22.8607,22.8607,13,,,,,7784,2026-05-03,5217302,Pirenopolis,GO,2026,18
1777161600000,202617,8.0,8,8,8,0.029569592,30.07745,0,1,521730220261720683,2026-08-18,Pirenópolis,,0.4650652,26598,23.0274571428571,65.4001857142857,0,0,1,65.4001857142857,65.4001857142857,23.0274571428571,23.0274571428571,4,,,,,7784,2026-04-26,5217302,Pirenopolis,GO,2026,17
1776556800000,202616,19.0,19,19,19,0.77529734,71.433945,0,2,521730220261620683,2026-08-18,Pirenópolis,,1.2950479,26598,18.7839428571429,86.2081,1,0,1,69.0716428571429,46.9104285714286,23.3782714285714,28.1258857142857,17,,,,,7784,2026-04-19,5217302,Pirenopolis,GO,2026,16
1775952000000,202615,21.0,21,21,21,0.934166,78.95331,0,2,521730220261520683,2026-08-18,Pirenópolis,,1.6879728,26598,19.3346,88.4063571428571,1,0,2,74.7219857142857,56.5969,23.0230142857143,27.2876714285714,19,,,,,7784,2026-04-12,5217302,Pirenopolis,GO,2026,15
1775347200000,202614,13.0,13,13,13,0.53593445,48.875854,0,2,521730220261420683,2026-08-18,Pirenópolis,,1.035734,26598,19.6738142857143,92.9614142857143,1,0,1,79.4823857142857,57.3761428571429,23.3981285714286,28.1836571428571,13,,,,,7784,2026-04-05,5217302,Pirenopolis,GO,2026,14
1774742400000,202613,11.0,11,11,11,0.30166033,41.35649,0,2,521730220261320683,2026-08-18,Pirenópolis,,0.8131551,26598,18.9625,88.9884857142857,1,0,1,76.9646571428571,59.1021857142857,22.5477,27.0875428571429,10,,,,,7784,2026-03-29,5217302,Pirenopolis,GO,2026,13
1774137600000,202612,12.0,12,12,12,0.3288776,45.116173,0,2,521730220261220683,2026-08-18,Pirenópolis,,0.84319115,26598,19.1351,93.5347285714286,1,0,1,79.9306428571429,60.8462,22.6203571428571,26.8578428571429,11,,,,,7784,2026-03-22,5217302,Pirenopolis,GO,2026,12
1773532800000,202611,15.0,15,15,15,0.46247277,56.395218,0,2,521730220261120683,2026-08-18,Pirenópolis,,0.9669129,26598,19.9679285714286,96.9457714285714,1,0,1,83.3268714285714,62.4280714285714,23.0353285714286,27.2935714285714,14,,,,,7784,2026-03-15,5217302,Pirenopolis,GO,2026,11
1772928000000,202610,13.0,13,13,13,0.29318735,48.875854,0,2,521730220261020683,2026-08-18,Pirenópolis,,0.8186718,26598,19.8950714285714,95.7763285714286,1,0,1,82.7418714285714,63.3457714285714,23.2532,27.7163714285714,12,,,,,7784,2026-03-08,5217302,Pirenopolis,GO,2026,10
1772323200000,202609,15.0,15,15,15,0.64130455,56.395218,0,2,521730220260920683,2026-08-18,Pirenópolis,,1.1441576,26598,19.8829714285714,94.8569142857143,1,0,1,78.5654285714286,59.5525428571429,23.3990428571429,27.5988428571429,15,,,,,7784,2026-03-01,5217302,Pirenopolis,GO,2026,9
1771718400000,202608,20.0,20,20,20,0.96995044,75.19363,0,2,521730220260820683,2026-08-18,Pirenópolis,,2.0086424,26598,19.5177285714286,98.0228571428571,1,1,2,90.1512285714286,76.4429285714286,21.3653285714286,24.5101714285714,19,,,,,7784,2026-02-22,5217302,Pirenopolis,GO,2026,8
1771113600000,202607,13.0,13,13,13,0.8071991,48.875854,0,2,521730220260720683,2026-08-18,Pirenópolis,,1.4416466,26598,19.6264857142857,91.7007857142857,1,0,1,76.9800857142857,59.7337285714286,23.3472714285714,27.4998,12,,,,,7784,2026-02-15,5217302,Pirenopolis,GO,2026,7
1770508800000,202606,7.0,7,7,7,0.29982263,26.317768,0,2,521730220260620683,2026-08-18,Pirenópolis,,0.7738825,26598,19.1048571428571,95.4832142857143,1,0,1,80.8687714285714,61.9475571428571,22.3466571428571,26.2442428571429,7,,,,,7784,2026-02-08,5217302,Pirenopolis,GO,2026,6
1769904000000,202605,10.0,10,10,10,0.48146507,37.596813,0,2,521730220260520683,2026-08-18,Pirenópolis,,0.9799477,26598,19.7554,96.8116142857143,1,0,1,86.2715142857143,69.1430428571429,22.2582571428571,25.8241857142857,10,,,,,7784,2026-02-01,5217302,Pirenopolis,GO,2026,5
