cod_ibge,municipio,uf,ano,semana,se_codigo,data_ini_se,casos,casos_est,casos_est_min,casos_est_max,pop,incidencia_100k,incidencia_mm3,incidencia_mm8,casos_est_mm3,razao_mm3_mm8,variacao_semanal,tempmed,umidmed,tempmed_anomalia,semanas_favoraveis_8,canal_mediana,canal_q3,risco,risco_codigo,nivel_canal,nivel_absoluto,completude,dado_provisorio,incerteza_nowcast,clima_imputado,porte_populacional,Rt,probabilidade_alerta,fatores_alerta,horizonte_semanas,alvo,alvo_observado
5200100,Abadiania,GO,2015,1,201501,2015-01-04,0,0.0,0,0.0,20461,0.0,0.0,0.0,0.0,1.0,0.0,24.2083334285714,59.6071428571429,2.960078124542097,6.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,0.0,0.12795318569056977,"tempmed_anomalia, chuva_acum4, semana",4,0.0,1
5200100,Abadiania,GO,2015,2,201502,2015-01-11,0,0.0,0,0.0,20461,0.0,0.0,0.0,0.0,1.0,0.0,25.2991342857143,51.8445022857143,4.006121263736276,6.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,0.0,0.1891874241571764,"tempmed_anomalia, canal_mediana, semana",4,0.0,1
5200100,Abadiania,GO,2015,3,201503,2015-01-18,1,1.0,1,1.0,20461,4.887346659498558,0.0,0.0,0.0,1.0,10.0,23.1177934285714,64.6188074285714,1.3760627912087635,6.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,18.521618,0.1180616122070715,"semana, canal_mediana, canal_q3",4,0.0,1
5200100,Abadiania,GO,2015,4,201504,2015-01-25,1,1.0,1,1.0,20461,4.887346659498558,1.629115553166186,0.6109183324373197,0.3333333333333333,2.6666666666666665,0.0,22.4855651428571,72.9731497142857,0.9116068681318305,6.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,3.3788157,0.1714587589323304,"canal_mediana, semana, canal_q3",4,0.0,1
5200100,Abadiania,GO,2015,5,201505,2015-02-01,0,0.0,0,0.0,20461,0.0,3.258231106332372,1.2218366648746397,0.6666666666666666,2.6666666666666665,-1.0,21.5863877142857,77.137676,-0.1942841868131992,7.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,0.0,0.29004209726921365,"canal_q3, canal_mediana, chuva_anomalia",4,0.0,1
5200100,Abadiania,GO,2015,6,201506,2015-02-08,1,1.0,1,1.0,20461,4.887346659498558,3.258231106332372,1.2218366648746397,0.6666666666666666,2.6666666666666665,10.0,22.2554398571429,74.0194688571429,0.9636615472527909,8.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,1.4390478,0.16569345960442428,"umidmed_lag4, canal_mediana, canal_q3",4,0.0,1
5200100,Abadiania,GO,2015,7,201507,2015-02-15,1,1.0,1,1.0,20461,4.887346659498558,3.258231106332372,1.8327549973119592,0.6666666666666666,1.7777777777777777,0.0,21.1600344285714,79.3831457142857,0.1023231648351554,8.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,1.6894078,0.4095930028536036,"canal_mediana, canal_q3, chuva_anomalia",4,1.0,1
5200100,Abadiania,GO,2015,8,201508,2015-02-22,1,1.0,1,1.0,20461,4.887346659498558,3.258231106332372,2.443673329749279,0.6666666666666666,1.3333333333333333,0.0,21.9988774285714,71.7729597142857,1.2327276153845863,8.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,1.3274451,0.26494786043174884,"canal_mediana, canal_q3, chuva_acum4",4,0.0,1
5200100,Abadiania,GO,2015,9,201509,2015-03-01,4,4.0,4,4.0,20461,19.549386637994232,4.887346659498558,3.0545916621865987,1.0,1.6,3.0,21.2680805714286,80.2007135714286,-0.0372050439560105,8.0,0.0,0.0,moderado,1,-1,1,1.0,0,0.0,0,medio,3.625115,0.2760661244705918,"incidencia_100k, canal_q3, chuva_acum4",4,0.0,1
5200100,Abadiania,GO,2015,10,201510,2015-03-08,1,1.0,1,1.0,20461,4.887346659498558,9.774693318997116,5.498264991935878,2.0,1.7777777777777777,-0.75,21.1123808571429,81.2064297142857,0.0707363186813587,8.0,0.0,0.0,baixo,0,-1,0,1.0,0,0.0,0,medio,0.5824406,0.515703587220864,"canal_q3, canal_mediana, incidencia_mm8",4,0.0,1
