ano,modelo,sensibilidade,especificidade,vpp,vpn,acuracia,n,prevalencia,auc,auprc,brier
2019,referencia,0.6966101694915254,0.8010309278350516,0.6804635761589404,0.8127615062761506,0.7615384615384615,1560,0.3782051282051282,0.7488205486632885,0.5887614368644787,0.23846153846153847
2019,interpretavel,0.6694915254237288,0.7587628865979381,0.6279809220985691,0.790547798066595,0.725,1560,0.3782051282051282,0.7718137340555653,0.7290837809349516,0.18841558713028533
2019,aprendizado,0.5932203389830508,0.8793814432989691,0.7494646680942184,0.7804208600182982,0.7711538461538462,1560,0.3782051282051282,0.8075834352612267,0.7642261884387584,0.1742773123242104
2020,referencia,0.730593607305936,0.804930332261522,0.7250755287009063,0.8092672413793104,0.7742138364779875,1590,0.41320754716981134,0.767761969783729,0.641056300799835,0.22578616352201258
2020,interpretavel,0.6286149162861492,0.7942122186495176,0.6826446280991736,0.7522842639593909,0.7257861635220125,1590,0.41320754716981134,0.7829068111409653,0.7432070473683619,0.18550770245815937
2020,aprendizado,0.6164383561643836,0.864951768488746,0.7627118644067796,0.7620396600566572,0.7622641509433963,1590,0.41320754716981134,0.8174282726544543,0.7825682089895017,0.1839035609358124
2021,referencia,0.6501766784452296,0.8531187122736419,0.7159533073929961,0.8107074569789675,0.7794871794871795,1560,0.3628205128205128,0.7516476953594358,0.5924192202457317,0.2205128205128205
2021,interpretavel,0.5565371024734982,0.7575452716297787,0.5665467625899281,0.75,0.6846153846153846,1560,0.3628205128205128,0.7407341575957511,0.6672127273962899,0.1984631531619071
2021,aprendizado,0.5971731448763251,0.8732394366197183,0.728448275862069,0.791970802919708,0.7730769230769231,1560,0.3628205128205128,0.8086664865518196,0.720674987520081,0.17201449450173972
2022,referencia,0.7702020202020202,0.7252604166666666,0.7429963459196103,0.7537212449255751,0.7480769230769231,1560,0.5076923076923077,0.7477312184343435,0.6889239532966696,0.2519230769230769
2022,interpretavel,0.7323232323232324,0.7395833333333334,0.7435897435897436,0.7282051282051282,0.735897435897436,1560,0.5076923076923077,0.8085394965277777,0.8179678564326858,0.18154056930376347
2022,aprendizado,0.7891414141414141,0.7421875,0.7594167679222357,0.7734056987788331,0.7660256410256411,1560,0.5076923076923077,0.8412033748947811,0.848078493380696,0.1668210828727706
2023,referencia,0.6687022900763359,0.8276243093922652,0.7373737373737373,0.7753623188405797,0.7608974358974359,1560,0.4198717948717949,0.7481632997343006,0.6321860709265289,0.2391025641025641
2023,interpretavel,0.7526717557251908,0.7248618784530386,0.6644204851752021,0.8019559902200489,0.7365384615384616,1560,0.4198717948717949,0.8128834718063347,0.7639609325433876,0.18481842819821453
2023,aprendizado,0.7190839694656489,0.8165745856353591,0.7394034536891679,0.800650054171181,0.7756410256410257,1560,0.4198717948717949,0.8177723419509931,0.7954692770900241,0.16804137827498067
2024,referencia,0.8500576701268743,0.7142857142857143,0.788235294117647,0.792,0.7897435897435897,1560,0.5557692307692308,0.7821716922062943,0.7533787909627518,0.21025641025641026
2024,interpretavel,0.9042675893886967,0.5526695526695526,0.716636197440585,0.8218884120171673,0.7480769230769231,1560,0.5557692307692308,0.8612471726658577,0.8959424891139597,0.18331081905253832
2024,aprendizado,0.895040369088812,0.6118326118326118,0.7425837320574162,0.8233009708737864,0.7692307692307693,1560,0.5557692307692308,0.8715096258348853,0.9013904691279232,0.1738663713031167
2025,referencia,0.59245960502693,0.7628267182962246,0.5739130434782609,0.7763546798029557,0.7031446540880503,1590,0.350314465408805,0.6776431616615772,0.48278759065641796,0.2968553459119497
2025,interpretavel,0.6588868940754039,0.5682478218780251,0.45141451414514144,0.7554697554697555,0.6,1590,0.350314465408805,0.6749041070177848,0.5617857691402146,0.24288949220894304
2025,aprendizado,0.7073608617594255,0.6369796708615683,0.5123537061118335,0.8014616321559074,0.6616352201257861,1590,0.350314465408805,0.7434291365199754,0.617590986352917,0.22509610850833023
