municipio,uf,cod_ibge,fonte,conteudo,arquivo_local,url
Cristalina,GO,5206206,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5206206.csv,https://info.dengue.mat.br/api/alertcity?geocode=5206206&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Cristalina,GO,5206206,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5206206.csv,https://info.dengue.mat.br/api/alertcity?geocode=5206206&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Cristalina,GO,5206206,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5206206?formato=application/vnd.geo+json&qualidade=intermediaria
Flores de Goias,GO,5207907,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5207907.csv,https://info.dengue.mat.br/api/alertcity?geocode=5207907&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Flores de Goias,GO,5207907,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5207907.csv,https://info.dengue.mat.br/api/alertcity?geocode=5207907&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Flores de Goias,GO,5207907,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5207907.csv,https://info.dengue.mat.br/api/alertcity?geocode=5207907&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Flores de Goias,GO,5207907,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5207907?formato=application/vnd.geo+json&qualidade=intermediaria
Formosa,GO,5208004,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5208004.csv,https://info.dengue.mat.br/api/alertcity?geocode=5208004&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Formosa,GO,5208004,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5208004.csv,https://info.dengue.mat.br/api/alertcity?geocode=5208004&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Formosa,GO,5208004,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5208004.csv,https://info.dengue.mat.br/api/alertcity?geocode=5208004&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Formosa,GO,5208004,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5208004?formato=application/vnd.geo+json&qualidade=intermediaria
Goianesia,GO,5208608,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5208608.csv,https://info.dengue.mat.br/api/alertcity?geocode=5208608&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Goianesia,GO,5208608,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5208608.csv,https://info.dengue.mat.br/api/alertcity?geocode=5208608&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Goianesia,GO,5208608,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5208608.csv,https://info.dengue.mat.br/api/alertcity?geocode=5208608&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Goianesia,GO,5208608,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5208608?formato=application/vnd.geo+json&qualidade=intermediaria
Luziania,GO,5212501,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5212501.csv,https://info.dengue.mat.br/api/alertcity?geocode=5212501&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Luziania,GO,5212501,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5212501.csv,https://info.dengue.mat.br/api/alertcity?geocode=5212501&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
